split,segment_dimension,segment_value,support,purchase_rate,roc_auc,average_precision,brier_score,mean_predicted_probability,minimum_support
validation,RegionID,REG000007,677,0.1964549483013294,0.5194880583812472,0.22865196138968502,0.1584783793949833,0.1897779982414478,100
validation,RegionID,REG000008,443,0.1489841986455982,0.4729523350213006,0.14668477153309034,0.13188036583393173,0.19387318954106314,100
validation,RegionID,REG000009,484,0.17355371900826447,0.4467559523809524,0.1495942366509721,0.14782748679258048,0.18820156381066627,100
validation,RegionID,REG000010,384,0.234375,0.48745275888133033,0.21904080944443705,0.18484030329829973,0.1919966490003638,100
validation,CategoryID,CAT000011,110,0.16363636363636364,0.4027777777777778,0.17660648718689453,0.141636507804042,0.20276644096123708,100
validation,CategoryID,CAT000012,131,0.17557251908396945,0.5,0.17657590508527604,0.14631387652476935,0.192539961200914,100
validation,CategoryID,CAT000014,157,0.10828025477707007,0.4684873949579832,0.12148921231094548,0.10354739471412898,0.18593683750886322,100
validation,CategoryID,CAT000016,114,0.14912280701754385,0.5676167374166161,0.17681420571020284,0.1286707985250922,0.1998245297073434,100
validation,CategoryID,CAT000017,121,0.1652892561983471,0.5965346534653465,0.2548553736351839,0.13664813180326618,0.19087422880928456,100
validation,CategoryID,CAT000018,108,0.10185185185185185,0.47141518275538896,0.11750083580149887,0.10158269546669851,0.1889958689315102,100
validation,CategoryID,CAT000019,150,0.17333333333333334,0.5344292803970223,0.2316283900823822,0.142668562627645,0.17835702278194335,100
validation,CategoryID,CAT000021,131,0.21374045801526717,0.5045076282940361,0.27815710169799346,0.16881830986999574,0.18603892441170858,100
validation,CategoryID,CAT000022,108,0.19444444444444445,0.45210727969348663,0.17437768213876956,0.16108283317783542,0.20718330344050903,100
validation,CategoryID,CAT000024,126,0.14285714285714285,0.5041152263374485,0.19944405666794546,0.126302571934883,0.19954026414627085,100
validation,CategoryID,CAT000041,104,0.17307692307692307,0.48966408268733846,0.17305469823908462,0.1461171776598285,0.2004498339163917,100
validation,CategoryID,CAT000043,104,0.20192307692307693,0.40160642570281124,0.1665986142085683,0.16710280428707144,0.18026788536692379,100
validation,CategoryID,CAT000045,104,0.18269230769230768,0.4421052631578948,0.165678118263886,0.15271786811361815,0.18760960700192245,100
validation,CategoryID,CAT000048,118,0.1864406779661017,0.49857954545454547,0.1856963604240059,0.15727779546662887,0.2179237866654711,100
validation,CategoryID,CAT000050,104,0.11538461538461539,0.42934782608695654,0.10492425129599886,0.11125076282352081,0.1898648735873352,100
validation,CategoryID,CAT000052,124,0.12903225806451613,0.35185185185185186,0.1006241881633165,0.12525111904790398,0.2069908406351882,100
validation,CategoryID,CAT000057,110,0.20909090909090908,0.567216391804098,0.27438877436587994,0.16501930815719942,0.16733351965402413,100
validation,CategoryID,CAT000064,112,0.1875,0.3563579277864992,0.1448099860185327,0.16163738475824338,0.19427925397259654,100
validation,CategoryID,CAT000065,155,0.16129032258064516,0.4326153846153846,0.14180813802595532,0.14107066131746637,0.20728348185043743,100
validation,StoreType,Outlet,694,0.15561959654178675,0.5456958665149791,0.18574244795486777,0.13289163120034306,0.19002786852447268,100
validation,StoreType,Suburban,2304,0.1853298611111111,0.5169717484799976,0.19789989176319062,0.15184082510399777,0.1896174817733553,100
validation,StoreType,Urban,2252,0.17939609236234458,0.4700800437186576,0.16335415673704967,0.15074082081473272,0.1938165621130748,100
test,Channel,Email,1107,0.18699186991869918,0.5156468062265164,0.19634508416103055,0.15350026176474113,0.17631006279133812,100
test,Channel,Kiosk,742,0.1738544474393531,0.5392212653489636,0.19183137054496086,0.14525929572921908,0.17715137467065087,100
test,Channel,Mobile,2072,0.18677606177606176,0.5406313497266502,0.21002016004266744,0.1522167523265507,0.17790626331516268,100
test,Channel,Online,146,0.22602739726027396,0.5585947975328507,0.30535209225603566,0.17477968429007035,0.17607685744281187,100
test,Channel,Store,427,0.1686182669789227,0.4453051643192488,0.15787060188273042,0.14423066678072735,0.16518142323838295,100
test,Channel,Web,756,0.19047619047619047,0.5056168300653595,0.19892870092164278,0.15547873562850564,0.18439453571643086,100
test,Season,All,2363,0.18831993228946256,0.5263547000035149,0.20358193650326428,0.1540333616770077,0.1763015879745178,100
test,Season,Fall,591,0.1793570219966159,0.5219801595020425,0.19371615714247145,0.14868788449717485,0.172883874163575,100
test,Season,Spring,935,0.1839572192513369,0.5379773842543205,0.1982570804789738,0.15141630238829798,0.1796813456375833,100
test,Season,Summer,702,0.17094017094017094,0.5629438717067583,0.1997717645199161,0.14099100339259898,0.17630306507492266,100
test,Season,Winter,659,0.19575113808801214,0.47180049729413476,0.2084919833460348,0.15985015218038032,0.1826152703300738,100
test,RegionID,REG000001,322,0.19875776397515527,0.5370033914728682,0.2549893058302318,0.15912937791570506,0.17898985073760074,100
test,RegionID,REG000002,517,0.16634429400386846,0.5418442777747801,0.18871459566940327,0.13988662549534478,0.1697815194629822,100
test,RegionID,REG000003,548,0.16970802919708028,0.517357910906298,0.17675514790154723,0.14296480179201268,0.1801487641748888,100
test,RegionID,REG000004,711,0.18143459915611815,0.45753749433922053,0.1679454669703294,0.15247231701765115,0.17727520403155156,100
test,RegionID,REG000005,695,0.20431654676258992,0.5378091332806969,0.23786385249178083,0.16311927055438755,0.17904365439443998,100
test,RegionID,REG000006,592,0.17060810810810811,0.5081768869351294,0.17881828783964998,0.14417116343285205,0.1810653419468198,100
test,RegionID,REG000007,649,0.17411402157164868,0.5507693831726324,0.19848186546943256,0.1441906457549769,0.17329865719255608,100
test,RegionID,REG000008,439,0.18223234624145787,0.5785515320334261,0.2281643651232514,0.14782218074686293,0.1754068217629361,100
test,RegionID,REG000009,431,0.20417633410672853,0.5025510204081634,0.22452858177490903,0.1643995580777269,0.17479847179862001,100
test,RegionID,REG000010,346,0.21965317919075145,0.5504385964912281,0.25704988857030786,0.17163548892690503,0.18575357753703914,100
test,CategoryID,CAT000011,135,0.2222222222222222,0.5577777777777778,0.3554142627057328,0.1713999564548949,0.1820321145534122,100
test,CategoryID,CAT000012,169,0.1834319526627219,0.5056100981767181,0.2060171192815446,0.15139304720005958,0.18681885341934615,100
test,CategoryID,CAT000014,157,0.1910828025477707,0.4614173228346457,0.26659161009692733,0.15587412407991594,0.16552624700758867,100
test,CategoryID,CAT000016,104,0.19230769230769232,0.5892857142857143,0.23648413784545788,0.15581558251015998,0.17413541197559607,100
test,CategoryID,CAT000017,132,0.2196969696969697,0.6401071309005691,0.3191682949506571,0.17212035961631253,0.17699541842015726,100
test,CategoryID,CAT000019,131,0.13740458015267176,0.6243854473942969,0.2348582576013587,0.1169260027211901,0.17150200770002644,100
test,CategoryID,CAT000021,119,0.13445378151260504,0.46601941747572817,0.1516843294509851,0.12110743505987702,0.1830557167733244,100
test,CategoryID,CAT000022,107,0.18691588785046728,0.4614942528735632,0.19328513641421544,0.15508327378217523,0.19770850769130432,100
test,CategoryID,CAT000024,122,0.09016393442622951,0.5511875511875513,0.14663550340262815,0.08946929554151385,0.17366674301711765,100
test,CategoryID,CAT000034,100,0.21,0.705244122965642,0.43158082538624093,0.16081435040264058,0.15573898496159452,100
test,CategoryID,CAT000043,122,0.13934426229508196,0.44649859943977593,0.13378139972681258,0.123067233289994,0.16445815074745673,100
test,CategoryID,CAT000045,118,0.22033898305084745,0.43729096989966554,0.1989804855186914,0.17871838831137224,0.16977797603665398,100
test,CategoryID,CAT000046,110,0.3090909090909091,0.5654024767801857,0.350660374721899,0.2311417003192504,0.17294098421459916,100
test,CategoryID,CAT000047,117,0.19658119658119658,0.34690101757631825,0.1625903609042123,0.1634043155113016,0.1507609472174624,100
test,CategoryID,CAT000048,131,0.16793893129770993,0.46121768140116765,0.2362129731410484,0.14343104332735562,0.20465681377786427,100
test,CategoryID,CAT000050,139,0.23741007194244604,0.3927958833619211,0.1984758615235283,0.19178160417105988,0.18137439274987846,100
test,CategoryID,CAT000052,121,0.15702479338842976,0.43343653250773995,0.15391674036152414,0.1364626948855314,0.17934542867380018,100
test,CategoryID,CAT000057,112,0.1875,0.5091575091575091,0.1977404916595646,0.1552924703016441,0.1783413794517366,100
test,CategoryID,CAT000064,119,0.19327731092436976,0.5951086956521738,0.38130045580262917,0.15404186733549696,0.16419619307136596,100
test,CategoryID,CAT000065,147,0.1564625850340136,0.6279803646563815,0.23746953235122503,0.13018134519523544,0.1644304461325442,100
test,StoreType,Outlet,687,0.19796215429403202,0.5591438027116472,0.23348502476376995,0.1588657782512489,0.1765054262475902,100
test,StoreType,Suburban,2266,0.17255075022065314,0.5342936061381074,0.1922198244851106,0.1433723348220272,0.17489268228006336,100
test,StoreType,Urban,2297,0.1937309534175011,0.5065814060717839,0.19773132931959858,0.15834743161376214,0.17993872404745104,100
